learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5800.0,0.030336,3.28006036579609E-11,5800.0,66.7,29.785349808122135,32.17922606924644,21.090047393364948,5800.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.031119,3.3960882574319846E-11,6000.0,67.80000000000001,31.44647928704339,33.47107438016529,23.15035799522675,6000.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6200.0,0.031904,3.512412516607179E-11,6200.0,67.80000000000001,31.0146840172592,33.60824742268042,22.033898305084765,6200.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6400.0,0.032716,3.632737737562922E-11,6400.0,69.5,33.609633351037424,36.590436590436575,23.366834170854265,6400.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6600.0,0.033501,3.749061996738117E-11,6600.0,69.3,33.43682786373412,36.96098562628335,23.057644110275678,6600.0,5728.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6800.0,0.03505,4.0924052397410084E-11,6800.0,69.39999999999999,33.12937062937062,39.04382470119521,23.499999999999993,6800.0,8568.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.03666,4.5668913258446593E-11,7000.0,69.69999999999999,33.53805659135774,40.47151277013752,23.29113924050632,7000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7200.0,0.037778,4.8963791794247104E-11,7200.0,69.89999999999999,35.50460681379901,40.51383399209485,26.585365853658534,7200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7400.0,0.038704,5.1692823568979906E-11,7400.0,70.19999999999999,36.89542428297954,40.04024144869214,29.383886255924168,7400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7600.0,0.039642,5.4457220766279436E-11,7600.0,69.19999999999999,35.042749463259064,37.777777777777764,27.86885245901639,7600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7800.0,0.040633,5.7377815246582035E-11,7800.0,68.2,33.277381451951335,35.10204081632654,24.644549763033194,7800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.041589,6.019526057773167E-11,8000.0,66.9,31.719915505973994,32.310838445807775,24.08256880733947,8000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8200.0,0.042505,6.289482116699219E-11,8200.0,65.5,28.46597883422355,25.806451612903224,19.392523364485996,8200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8400.0,0.043441,6.565332412719728E-11,8400.0,63.5,24.212222388332428,20.479302832244002,13.915094339622652,8400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8600.0,0.04436,6.836172607209948E-11,8600.0,64.3,25.704248801278645,19.955156950672638,13.559322033898317,8600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8800.0,0.045275,7.105833954281277E-11,8800.0,64.0,25.60261878781867,19.821826280623604,15.09433962264152,8800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.046197,7.377558284335667E-11,9000.0,66.2,28.641701114287294,23.006833712984054,15.710723192019962,9000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9200.0,0.047132,7.653113868501452E-11,9200.0,67.60000000000001,31.12098471481112,28.947368421052634,17.97468354430381,9200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9400.0,0.048068,7.92896416452196E-11,9400.0,68.4,33.21159243853777,30.396475770925115,22.549019607843153,9400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9600.0,0.048982,8.198330799738568E-11,9600.0,68.5,33.481433929114445,32.6923076923077,23.728813559322052,9600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9800.0,0.049896,8.467697434955175E-11,9800.0,69.0,34.56602499155689,33.47639484978539,26.190476190476186,9800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.050834,8.744137154685128E-11,10000.0,68.60000000000001,33.542160514730796,32.18142548596113,25.23809523809526,10000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10200.0,0.051768,9.019398026996191E-11,10200.0,68.2,32.550523475811524,32.3404255319149,23.923444976076574,10200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10400.0,0.052698,9.293480051888361E-11,10400.0,68.7,32.89022298456262,33.54564755838642,22.524752475247542,10400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10600.0,0.053633,9.569035636054146E-11,10600.0,68.4,31.862189121237876,32.478632478632484,21.197007481296776,10600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10800.0,0.054607,9.856084982554119E-11,10800.0,68.8,31.618836380532407,34.17721518987341,19.7943444730077,10800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.05555,1.0133998261557686E-10,11000.0,67.60000000000001,29.658496341807606,31.645569620253173,18.796992481203024,11000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11200.0,0.056488,1.041043798128764E-10,11200.0,67.30000000000001,29.038306294106935,31.157894736842113,18.045112781954902,11200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11400.0,0.057388,1.0675678650538128E-10,11400.0,67.4,28.64647172123973,29.589632829373652,16.410256410256423,11400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11600.0,0.05834,1.09562443362342E-10,11600.0,67.2,27.84453136343039,29.31034482758621,15.245478036175724,11600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11800.0,0.059243,1.1222369141048857E-10,11800.0,66.4,26.65292864377774,26.31578947368421,14.285714285714299,11800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.060147,1.1488788657718236E-10,12000.0,67.4,29.29428758572526,29.28416485900217,17.884130982367775,12000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12200.0,0.061048,1.1754324038823448E-10,12200.0,68.30000000000001,31.44878770316677,29.24107142857143,20.551378446115308,12200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12400.0,0.061963,1.202398538589478E-10,12400.0,68.4,32.24961300807431,32.90870488322719,23.486682808716726,12400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12600.0,0.063124,1.2366145849227908E-10,12600.0,68.5,32.4388088640283,33.6842105263158,23.728813559322052,12600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12800.0,0.064337,1.272363132900662E-10,12800.0,67.7,30.516116818971913,31.276595744680858,20.83333333333335,12800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.0659,1.3184265957938302E-10,13000.0,68.5,31.222707423580793,34.375000000000014,20.25316455696204,13000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13200.0,0.067416,1.3631049129698012E-10,13200.0,68.10000000000001,29.833359728307745,34.49691991786448,18.82951653944022,13200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13400.0,0.068367,1.3911320103539362E-10,13400.0,67.7,28.581536447738497,33.81147540983607,17.602040816326543,13400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13600.0,0.069276,1.4179213179482353E-10,13600.0,67.60000000000001,29.41084197179049,33.057851239669425,18.796992481203024,13600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13800.0,0.070192,1.4449169238408405E-10,13800.0,69.0,33.210670780314814,37.499999999999986,24.205378973105127,13800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.071112,1.472030414475335E-10,14000.0,68.10000000000001,31.89290746829499,35.68548387096775,23.132530120481945,14000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14200.0,0.072098,1.5010890033509996E-10,14200.0,69.19999999999999,33.66072197811665,37.39837398373982,24.13793103448275,14200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14400.0,0.073078,1.5299707651138307E-10,14400.0,70.3,35.67028530336766,38.88888888888888,25.188916876574304,14400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14600.0,0.074014,1.5575557947158815E-10,14600.0,70.1,35.038412069385046,40.19999999999999,24.494949494949488,14600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14800.0,0.075037,1.5877048174540205E-10,14800.0,69.89999999999999,34.061793519216266,39.31451612903225,22.62210796915166,14800.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.076014,1.6164981656604347E-10,15000.0,69.6,33.16830594846044,37.06004140786748,22.25063938618925,15000.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15200.0,0.076942,1.6438474257787072E-10,15200.0,68.30000000000001,31.860781043110435,36.08870967741937,22.30392156862747,15200.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15400.0,0.077889,1.671756638420953E-10,15400.0,68.30000000000001,32.810512929207306,37.103174603174615,25.411764705882373,15400.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15600.0,0.07885,1.7000784476598107E-10,15600.0,69.6,34.852582537920505,36.66666666666665,27.09832134292565,15600.0,11392.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15800.0,0.080579,1.7634867793983886E-10,15800.0,71.89999999999999,39.12742082232139,41.701244813278,30.61728395061728,15800.0,14176.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.081722,1.8054754576749274E-10,16000.0,72.2,39.95498783980509,42.203742203742195,31.695331695331696,16000.0,14200.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16200.0,0.082737,1.8427619917525188E-10,16200.0,72.0,39.50288657655477,40.928270042194086,31.372549019607842,16200.0,14200.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16400.0,0.085138,1.9626669378744235E-10,16400.0,71.2,37.71626297577854,38.72340425531914,27.999999999999996,16400.0,19304.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
16600.0,0.087066,2.075829005075826E-10,16600.0,70.3,36.07404218682737,37.73584905660376,25.749999999999996,16600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
16800.0,0.088468,2.1581180186735264E-10,16800.0,68.5,32.39937163606399,32.835820895522396,22.413793103448292,16800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
17000.0,0.089695,2.2301355790760787E-10,17000.0,68.5,32.671015620324376,33.962264150943405,22.413793103448292,17000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
